,
AliceBlue,240;248;255
BlueViolet,138;43;226
Cadet Blue,95;159;159
CadetBlue,95;158;160
CadetBlue,95;158;160
CadetBlue1,152;245;255
CadetBlue2,142;229;238
CadetBlue3,122;197;205
CadetBlue4,83;134;139
Corn Flower Blue,66;66;111
CornflowerBlue,100;149;237
DarkSlateBlue,72;61;139
DarkTurquoise,0;206;209
DeepSkyBlue,0;191;255
DeepSkyBlue1,0;191;255
DeepSkyBlue2,0;178;238
DeepSkyBlue3,0;154;205
DeepSkyBlue4,0;104;139
DodgerBlue,30;144;255
DodgerBlue1,30;144;255
DodgerBlue2,28;134;238
DodgerBlue3,24;116;205
DodgerBlue4,16;78;139
,170;187;204
LightBlue,173;216;230
LightBlue1,191;239;255
LightBlue2,178;223;238
LightBlue3,154;192;205
LightBlue4,104;131;139
LightCyan,224;255;255
LightCyan1,224;255;255
LightCyan2,209;238;238
LightCyan3,180;205;205
LightCyan4,122;139;139
LightSkyBlue,135;206;250
LightSkyBlue1,176;226;255
LightSkyBlue2,164;211;238
LightSkyBlue3,141;182;205
LightSkyBlue4,96;123;139
LightSlateBlue,132;112;255
,153;204;255
LightSteelBlue,176;196;222
LightSteelBlue1,202;225;255
LightSteelBlue2,188;210;238
LightSteelBlue3,162;181;205
LightSteelBlue4,110;123;139
Aquamarine,112;219;147
MediumBlue,0;0;205
MediumSlateBlue,123;104;238
MediumTurquoise,72;209;204
MidnightBlue,25;25;112
NavyBlue,0;0;128
PaleTurquoise,175;238;238
PaleTurquoise1,187;255;255
PaleTurquoise2,174;238;238
PaleTurquoise3,150;205;205
PaleTurquoise4,102;139;139
PowderBlue,176;224;230
RoyalBlue,65;105;225
RoyalBlue1,72;118;255
RoyalBlue2,67;110;238
RoyalBlue3,58;95;205
RoyalBlue4,39;64;139
RoyalBlue5,0;34;102
SkyBlue,135;206;235
SkyBlue1,135;206;255
SkyBlue2,126;192;238
SkyBlue3,108;166;205
SkyBlue4,74;112;139
SlateBlue,106;90;205
SlateBlue1,131;111;255
SlateBlue2,122;103;238
SlateBlue3,105;89;205
SlateBlue4,71;60;139
SteelBlue,70;130;180
SteelBlue1,99;184;255
SteelBlue2,92;172;238
SteelBlue3,79;148;205
SteelBlue4,54;100;139
,51;102;153
,51;153;204
,102;153;204
aquamarine,127;255;212
aquamarine1,127;255;212
aquamarine2,118;238;198
"aquamarine3, MediumAquamarine",102;205;170
aquamarine4,69;139;116
azure,240;255;255
azure1,240;255;255
azure2,224;238;238
azure3,193;205;205
azure4,131;139;139
blue,0;0;255
blue1,0;0;255
blue2,0;0;238
blue3,0;0;205
blue4,0;0;139
aqua,0;255;255
True Iris Blue,3;180;204
cyan,0;255;255
cyan1,0;255;255
cyan2,0;238;238
cyan3,0;205;205
cyan4,0;139;139
navy,0;0;128
teal,0;128;128
turquoise,64;224;208
turquoise1,0;245;255
turquoise2,0;229;238
turquoise3,0;197;205
turquoise4,0;134;139
DarkSlateGray,47;79;79
DarkSlateGray1,151;255;255
DarkSlateGray2,141;238;238
DarkSlateGray3,121;205;205
DarkSlateGray4,82;139;139
Dark Slate Blue,36;24;130
Dark Turquoise,112;147;219
Medium Slate Blue,127;0;255
Medium Turquoise,112;219;219
Midnight Blue,47;47;79
Navy Blue,35;35;142
Neon Blue,77;77;255
New Midnight Blue,0;0;156
Rich Blue,89;89;171
Sky Blue,50;153;204
Slate Blue,0;127;255
Summer Sky,56;176;222
Iris Blue,3;180;200
Free Speech Blue,65;86;197
