name,rgb
DeepPink,255;20;147
DeepPink1,255;20;147
DeepPink2,238;18;137
DeepPink3,205;16;118
DeepPink4,139;10;80
HotPink,255;105;180
HotPink1,255;110;180
HotPink2,238;106;167
HotPink3,205;96;144
HotPink4,139;58;98
IndianRed,205;92;92
IndianRed1,255;106;106
IndianRed2,238;99;99
IndianRed3,205;85;85
IndianRed4,139;58;58
LightPink,255;182;193
LightPink1,255;174;185
LightPink2,238;162;173
LightPink3,205;140;149
LightPink4,139;95;101
MediumVioletRed,199;21;133
MistyRose,255;228;225
MistyRose1,255;228;225
MistyRose2,238;213;210
MistyRose3,205;183;181
MistyRose4,139;125;123
OrangeRed,255;69;0
OrangeRed1,255;69;0
OrangeRed2,238;64;0
OrangeRed3,205;55;0
OrangeRed4,139;37;0
PaleVioletRed,219;112;147
PaleVioletRed1,255;130;171
PaleVioletRed2,238;121;159
PaleVioletRed3,205;104;137
PaleVioletRed4,139;71;93
VioletRed,208;32;144
VioletRed1,255;62;150
VioletRed2,238;58;140
VioletRed3,205;50;120
VioletRed4,139;34;82
firebrick,178;34;34
firebrick1,255;48;48
firebrick2,238;44;44
firebrick3,205;38;38
firebrick4,139;26;26
pink,255;192;203
pink1,255;181;197
pink2,238;169;184
pink3,205;145;158
pink4,139;99;108
red0,204;51;51
red,255;0;0
red1,255;0;0
red2,238;0;0
red3,205;0;0
red4,139;0;0
tomato,255;99;71
tomato1,255;99;71
tomato2,238;92;66
tomato3,205;79;57
tomato4,139;54;38
Dusty Rose,133;99;99
Firebrick,142;35;35
Indian Red,245;204;176
Pink,188;143;143
Salmon,111;66;66
Scarlet,140;23;23
Spicy Pink,255;28;174
Free Speech Magenta,227;91;216
Free Speech Red,192;0;0
