name,rgb
BlanchedAlmond,255;235;205
DarkGoldenrod,184;134;11
DarkGoldenrod1,255;185;15
DarkGoldenrod2,238;173;14
DarkGoldenrod3,205;149;12
DarkGoldenrod4,139;101;8
LemonChiffon,255;250;205
LemonChiffon1,255;250;205
LemonChiffon2,238;233;191
LemonChiffon3,205;201;165
LemonChiffon4,139;137;112
LightGoldenrod,238;221;130
LightGoldenrod1,255;236;139
LightGoldenrod2,238;220;130
LightGoldenrod3,205;190;112
LightGoldenrod4,139;129;76
LightGoldenrodYellow,250;250;210
LightYellow,255;255;224
LightYellow1,255;255;224
LightYellow2,238;238;209
LightYellow3,205;205;180
LightYellow4,139;139;122
PaleGoldenrod,238;232;170
PapayaWhip,255;239;213
cornsilk,255;248;220
cornsilk1,255;248;220
cornsilk2,238;232;205
cornsilk3,205;200;177
cornsilk4,139;136;120
goldenrod,218;165;32
goldenrod1,255;193;37
goldenrod2,238;180;34
goldenrod3,205;155;29
goldenrod4,139;105;20
moccasin,255;228;181
yellow,255;255;0
yellow1,255;255;0
yellow2,238;238;0
yellow3,205;205;0
yellow4,139;139;0
gold,255;215;0
gold1,255;215;0
gold2,238;201;0
gold3,205;173;0
gold4,139;117;0
Goldenrod,219;219;112
Medium Goldenrod,234;234;174
Yellow Green,153;204;50
